
The 'retroflex' sounds occur in these languages:

Language (sounds)	Sound	% of sounds in language
WESTERN DESERT (20) 	l., n., r.A, t. 	20.00%	
WICHITA (29) 	t.sh 	3.45%	
WIYOT (29) 	r.A 	3.45%	
YANYUWA (32) 	l., n., nt., r.[, t. 	15.62%	
YIDINY (16) 	r.A 	6.25%	
YOLNGU (23) 	l., n., r.A, r.[, t. 	21.74%	

These 91 languages are 20.18% of all languages in UPSID.


The criterion 'retroflex' matches with these sounds:


Sound	Description	Sound occurs in % of UPSID's languages
0. 	voiceless retroflex fricative 	0.22%
6. 	voiced retroflex fricative 	0.89%
d. 	voiced retroflex plosive 	5.99%
d.* 	laryngealized voiced retroflex plosive 	0.22%
d.< 	voiced retroflex implosive 	0.22%
d.h 	breathy voiced retroflex plosive 	1.33%
d.n 	nasally-released voiced retroflex plosive 	0.22%
d.r 	voiced retroflex affricated trill 	0.22%
d.z 	voiced retroflex sibilant affricate 	0.89%
hl. 	voiceless retroflex lateral approximant 	0.22%
hn. 	voiceless retroflex nasal 	0.22%
l. 	voiced retroflex lateral approximant 	5.99%
l.F 	voiced retroflex lateral fricative 	0.22%
l.[ 	voiced retroflex lateral flap 	1.77%
l.[* 	laryngealized voiced retroflex lateral flap 	0.22%
n. 	voiced retroflex nasal 	5.32%
nd. 	prenasalized voiced retroflex plosive 	0.22%
nd.z 	prenasalized voiced retroflex sibilant affricate 	0.44%
nt. 	prenasalized voiceless retroflex plosive 	0.44%
nt.s 	prenasalized voiceless retroflex sibilant affricate 	0.22%
nt.sh 	prenasalized voiceless aspirated retroflex sibilant affricate 	0.22%
r. 	voiced retroflex trill 	0.22%
r.A 	voiced retroflex approximant 	3.77%
r.[ 	voiced retroflex flap 	3.10%
r.[~ 	nasalized voiced retroflex flap 	0.22%
s. 	voiceless retroflex sibilant fricative 	5.10%
s.' 	voiceless retroflex sibilant ejective fricative 	0.22%
t. 	voiceless retroflex plosive 	7.54%
t.* 	laryngealized voiceless retroflex plosive 	0.22%
t.0 	voiceless retroflex affricate 	0.22%
t.h 	voiceless aspirated retroflex plosive 	2.22%
t.r 	voiceless retroflex affricated trill 	0.22%
t.s 	voiceless retroflex sibilant affricate 	3.55%
t.s' 	voiceless retroflex sibilant ejective affricate 	0.67%
t.sh 	voiceless aspirated retroflex sibilant affricate 	2.00%
z. 	voiced retroflex sibilant fricative 	2.00%
z.* 	laryngealized voiced retroflex sibilant fricative 	0.22%

These 37 sounds make 4.03% of all 919 sounds in UPSID

